NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
I.C. MONTALDO,GENOVA,GEEE83002L,PIAZZALE PAUL VALERY 9,44.419471200000004,8.9532498,http://www.icmontaldo-genova.gov.it,SCUOLA PRIMARIA,GEIC83000D,16139
IC VOLTRI I,GENOVA,GEMM81301R,SALITA EGEO 16,44.4286935,8.7439196,http://www.icvoltri1.gov.it,SCUOLA PRIMO GRADO,GEIC81300Q,16158
I.C. MONTALDO,GENOVA,GEAA83001A,PIAZZALE PAUL VALERY 9,44.419471200000004,8.9532498,http://www.icmontaldo-genova.gov.it,SCUOLA INFANZIA,GEIC83000D,16139
I.C. TERRALBA,GENOVA,GEAA85501P,PIAZZA MARTINEZ 2,44.4064549,8.956959300000001,http://terralbagenova.gov.it,SCUOLA INFANZIA,GEIC85500T,16143
I.C. TEGLIA,GENOVA,GEIC84200Q,VIA TEGLIA 2 B,44.453446500000005,8.8957261,,ISTITUTO COMPRENSIVO,GEIC84200Q,16161
I.C. TEGLIA,GENOVA,GEMM84201R,VIA TEGLIA 2,44.452629200000004,8.8950893,http://www.icteglia.gov.it,SCUOLA PRIMO GRADO,GEIC84200Q,16161
I.C. TEGLIA,GENOVA,GEAA84202N,VIA DEI MOLINUSSI 9,44.4445899,8.8876784,http://www.icteglia.gov.it,SCUOLA INFANZIA,GEIC84200Q,16161
I.C. TEGLIA,GENOVA,GEAA84201L,VIA TEGLIA 2 C,44.453446500000005,8.8957261,http://www.icteglia.gov.it,SCUOLA INFANZIA,GEIC84200Q,16161
I.O. CONVITTO/SEC.I GR.COLOMBO,GENOVA,GEMM14100T,CORSO CARBONARA 7G,44.41660770000001,8.9293814,http://http//www.convittocolombo.gov.it,SCUOLA PRIMO GRADO,GEMM14100T,16124
I.C. MADDALENA-BERTANI,GENOVA,GEIC854002,SALITA BATTISTINE 12,44.411843499999996,8.9360906,,ISTITUTO COMPRENSIVO,GEIC854002,16125
I.C.BURLANDO,GENOVA,GEMM82901A,VIA MONTALDO 61,44.4145318,8.949294199999999,http://www.icburlando.it,SCUOLA PRIMO GRADO,GEIC829009,16137
I.C. SAN TEODORO,GENOVA,GEAA82501V,VIA BOLOGNA 6A,44.4178221,8.907933640055381,http://www.icsanteodoro.gov.it,SCUOLA INFANZIA,GEIC825002,16127
GASTALDI/ABBA,GENOVA,GETF01601X,VIA DINO COL 32,44.412697200000004,8.908408369978051,http://www.gastaldi-abba.gov.it,ISTITUTO TECNICO INDUSTRIALE,GEIS01600B,16149
IPSIA A. ODERO,GENOVA,GERI020503,VIA BRISCATA 4,44.428992799999996,8.8405023,http://www.ipsiaodero.gov.it,IST PROF INDUSTRIA E ARTIGIANATO,GERI02000N,16154
I.C. SAN TEODORO,GENOVA,GEIC825002,VIA BOLOGNA 6 A,44.4198577,8.9081435,,ISTITUTO COMPRENSIVO,GEIC825002,16127
I.C. PEGLI,GENOVA,GEEE85002T,VIA PEGLI 39,44.4242088,8.8027543,http://istitutocomprensivopegli.gov.it,SCUOLA PRIMARIA,GEIC85000P,16156
GASTALDI/ABBA,GENOVA,GEIS01600B,VIA DINO COL 32,44.412697200000004,8.908408369978051,,ISTITUTO SUPERIORE,GEIS01600B,16149
I.C. SAN TEODORO,GENOVA,GEMM825013,VIA BOLOGNA 6 A,44.4198577,8.9081435,http://www.icsanteodorogenova.altervista.org,SCUOLA PRIMO GRADO,GEIC825002,16127
I.C. BORZOLI,GENOVA,GEEE841012,VIA FRATELLI DI CORONATA,44.4389741,8.8797375,http://http//www.icborzoli.altervista.org,SCUOLA PRIMARIA,GEIC84100X,16153
GASTALDI/ABBA,GENOVA,GEPS01601T,VIA DINO COL 32,44.412697200000004,8.908408369978051,http://www.gastaldi-abba.ge.it,LICEO SCIENTIFICO,GEIS01600B,16149
I.C. STURLA,GENOVA,GEAA860038,VIA CINQUE MAGGIO 39,44.392138700000004,8.986296300000001,,SCUOLA INFANZIA,GEIC860009,16147
I.O. CONVITTO / PRIMARIA,GENOVA,GEEE02200L,VIA DINO BELLUCCI 4,44.41518060000001,8.928059800000002,,SCUOLA PRIMARIA,GEEE02200L,16124
I.S. I. CALVINO,GENOVA,GEPS014016,VIA BORZOLI 21,44.4318815,8.8623698,http://www.calvino.ge.it,LICEO SCIENTIFICO,GEIS01400Q,16153
I.C. PEGLI,GENOVA,GEAA85005Q,VIA PEGLI 39,44.4242088,8.8027543,"http://www,istitutocomprensivopegli.gov.it",SCUOLA INFANZIA,GEIC85000P,16156
I.C. QUINTO/NERVI,GENOVA,GEIC86300R,VIA ANTICA ROMANA DI QUINTO 63 B,44.389448,9.012402400000001,,ISTITUTO COMPRENSIVO,GEIC86300R,16166
"I.T.T.L. ""NAUTICO SAN GIORGIO""",GENOVA,GETH020002,EDIFICIO CALATA DARSENA,44.410834200000004,8.93135473005175,http://www.itnautico.gov.it,ISTITUTO TECNICO NAUTICO,GETH020002,16126
